Mã Tài Sản,Tên Thiết Bị,Danh Mục,Model/Kích Thước,Số Serial/Mã Lô,Phòng Ban,Vị Trí,Người Quản Lý,Trạng Thái,Nguyên Giá (VNĐ),Ngày Mua,Ghi Chú
AST-00521,Máy In Tem Nhãn QR Code Thermal #521,Thiết Bị IT,Xprinter XP-420B,SN-2026-59588,DEPT-IT,Tầng 4 - Phòng IT - Ô 70,Hoàng Văn Thái,ACTIVE,2801280,2026-01-18,Tài sản mẫu kiểm thử số 521
AST-00522,Máy Điều Hòa Âm Trần Daikin 36000BTU #522,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-92959,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 55,Phạm Minh Đức,ACTIVE,37976670,2026-01-19,Tài sản mẫu kiểm thử số 522
AST-00523,Xe Nâng Điện Toyota 2.5 Tấn #523,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-94851,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 24,Nguyễn Thị Hoa,REPAIR,420045220,2026-01-20,Tài sản mẫu kiểm thử số 523
AST-00524,Pallet Gỗ Thông Xuất Khẩu Euro #524,Pallet Gỗ,1200x800x144mm,SN-2026-18330,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 5,Lê Vũ Tường,LOANED,244830,2026-01-21,Tài sản mẫu kiểm thử số 524
AST-00525,Xe Nâng Điện Toyota 2.5 Tấn #525,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-49548,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 59,Trần Văn Nam,LOANED,419969630,2026-01-22,Tài sản mẫu kiểm thử số 525
AST-00526,Bộ Máy Hàn TIG Điện Tử 250A #526,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-96274,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 61,Nguyễn Văn Hùng,SPARE,12479630,2026-01-23,Tài sản mẫu kiểm thử số 526
AST-00527,Máy Điều Hòa Âm Trần Daikin 36000BTU #527,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-96687,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 22,Hoàng Văn Thái,ACTIVE,38033710,2026-01-24,Tài sản mẫu kiểm thử số 527
AST-00528,Pallet Gỗ Thông Xuất Khẩu Euro #528,Pallet Gỗ,1200x800x144mm,SN-2026-68143,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 22,Phạm Thị Lan,ACTIVE,209740,2026-01-25,Tài sản mẫu kiểm thử số 528
AST-00529,Máy Nén Khí Piston 15HP #529,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-76645,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 39,Trần Văn Nam,SPARE,35003710,2026-01-26,Tài sản mẫu kiểm thử số 529
AST-00530,Máy Nén Khí Piston 15HP #530,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-81866,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 10,Nguyễn Văn Hùng,ACTIVE,35032210,2026-01-27,Tài sản mẫu kiểm thử số 530
AST-00531,Pallet Gỗ Thông Xuất Khẩu Euro #531,Pallet Gỗ,1200x800x144mm,SN-2026-63680,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 80,Trần Văn Nam,ACTIVE,246160,2026-01-28,Tài sản mẫu kiểm thử số 531
AST-00532,Pallet Nhựa 2 Mặt Tải Trọng Nặng #532,Pallet Nhựa,1200x1200x160mm,SN-2026-53646,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 17,Phạm Thị Lan,ACTIVE,645350,2026-01-01,Tài sản mẫu kiểm thử số 532
AST-00533,Laptop Dell Latitude 5440 i7 #533,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-28363,DEPT-IT,Tầng 4 - Phòng IT - Ô 49,Nguyễn Văn Hùng,ACTIVE,22466970,2026-01-02,Tài sản mẫu kiểm thử số 533
AST-00534,Ghế Xoay Lưới Công Trình Ergonomic #534,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-81798,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 90,Phạm Minh Đức,LOANED,1835260,2026-01-03,Tài sản mẫu kiểm thử số 534
AST-00535,Bộ Máy Hàn TIG Điện Tử 250A #535,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-74324,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 15,Hoàng Văn Thái,SPARE,12543270,2026-01-04,Tài sản mẫu kiểm thử số 535
AST-00536,Pallet Nhựa 2 Mặt Tải Trọng Nặng #536,Pallet Nhựa,1200x1200x160mm,SN-2026-92967,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 93,Trần Văn Nam,ACTIVE,625180,2026-01-05,Tài sản mẫu kiểm thử số 536
AST-00537,Laptop Dell Latitude 5440 i7 #537,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-38876,DEPT-IT,Tầng 4 - Phòng IT - Ô 44,Lê Vũ Tường,ACTIVE,22532150,2026-01-06,Tài sản mẫu kiểm thử số 537
AST-00538,Máy Nén Khí Piston 15HP #538,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-85675,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 21,Lê Vũ Tường,ACTIVE,34999600,2026-01-07,Tài sản mẫu kiểm thử số 538
AST-00539,Máy Nén Khí Piston 15HP #539,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-16353,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 48,Phạm Thị Lan,ACTIVE,34974410,2026-01-08,Tài sản mẫu kiểm thử số 539
AST-00540,Máy Nén Khí Piston 15HP #540,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-88786,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 86,Trần Văn Nam,ACTIVE,34962970,2026-01-09,Tài sản mẫu kiểm thử số 540
AST-00541,Màn Hình Dell UltraSharp 27 inch 4K #541,Thiết Bị IT,U2723QE,SN-2026-47342,DEPT-IT,Tầng 4 - Phòng IT - Ô 16,Nguyễn Thị Hoa,SPARE,12847240,2026-01-10,Tài sản mẫu kiểm thử số 541
AST-00542,Bộ Máy Hàn TIG Điện Tử 250A #542,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-54377,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 57,Nguyễn Văn Hùng,LOANED,12531350,2026-01-11,Tài sản mẫu kiểm thử số 542
AST-00543,Laptop Dell Latitude 5440 i7 #543,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-44954,DEPT-IT,Tầng 4 - Phòng IT - Ô 92,Hoàng Văn Thái,REPAIR,22493030,2026-01-12,Tài sản mẫu kiểm thử số 543
AST-00544,Pallet Nhựa 2 Mặt Tải Trọng Nặng #544,Pallet Nhựa,1200x1200x160mm,SN-2026-13305,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 9,Hoàng Văn Thái,ACTIVE,659030,2026-01-13,Tài sản mẫu kiểm thử số 544
AST-00545,Bộ Máy Hàn TIG Điện Tử 250A #545,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-36301,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 82,Lê Vũ Tường,LOANED,12524480,2026-01-14,Tài sản mẫu kiểm thử số 545
AST-00546,Pallet Gỗ Thông Xuất Khẩu Euro #546,Pallet Gỗ,1200x800x144mm,SN-2026-85291,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 3,Phạm Thị Lan,ACTIVE,241340,2026-01-15,Tài sản mẫu kiểm thử số 546
AST-00547,Máy In Tem Nhãn QR Code Thermal #547,Thiết Bị IT,Xprinter XP-420B,SN-2026-30592,DEPT-IT,Tầng 4 - Phòng IT - Ô 70,Nguyễn Thị Hoa,SPARE,2785230,2026-01-16,Tài sản mẫu kiểm thử số 547
AST-00548,Pallet Gỗ Thông Xuất Khẩu Euro #548,Pallet Gỗ,1200x800x144mm,SN-2026-61467,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 24,Phạm Minh Đức,REPAIR,213700,2026-01-17,Tài sản mẫu kiểm thử số 548
AST-00549,Pallet Gỗ Thông Xuất Khẩu Euro #549,Pallet Gỗ,1200x800x144mm,SN-2026-11562,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 42,Nguyễn Thị Hoa,LOANED,270110,2026-01-18,Tài sản mẫu kiểm thử số 549
AST-00550,Màn Hình Dell UltraSharp 27 inch 4K #550,Thiết Bị IT,U2723QE,SN-2026-10105,DEPT-IT,Tầng 4 - Phòng IT - Ô 48,Phạm Thị Lan,ACTIVE,12847340,2026-01-19,Tài sản mẫu kiểm thử số 550
AST-00551,Bộ Máy Hàn TIG Điện Tử 250A #551,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-58040,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 3,Nguyễn Văn Hùng,ACTIVE,12494060,2026-01-20,Tài sản mẫu kiểm thử số 551
AST-00552,Pallet Nhựa Xanh Lót Sàn #552,Pallet Nhựa,1100x1100x120mm,SN-2026-98122,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 89,Trần Văn Nam,SPARE,408180,2026-01-21,Tài sản mẫu kiểm thử số 552
AST-00553,Ghế Xoay Lưới Công Trình Ergonomic #553,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-69913,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 90,Nguyễn Văn Hùng,ACTIVE,1821860,2026-01-22,Tài sản mẫu kiểm thử số 553
AST-00554,Pallet Nhựa 2 Mặt Tải Trọng Nặng #554,Pallet Nhựa,1200x1200x160mm,SN-2026-65944,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 16,Trần Văn Nam,SPARE,615070,2026-01-23,Tài sản mẫu kiểm thử số 554
AST-00555,Pallet Gỗ Thông Xuất Khẩu Euro #555,Pallet Gỗ,1200x800x144mm,SN-2026-50857,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 24,Lê Vũ Tường,ACTIVE,280100,2026-01-24,Tài sản mẫu kiểm thử số 555
AST-00556,Laptop Dell Latitude 5440 i7 #556,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-32463,DEPT-IT,Tầng 4 - Phòng IT - Ô 46,Hoàng Văn Thái,LOANED,22524440,2026-01-25,Tài sản mẫu kiểm thử số 556
AST-00557,Ghế Xoay Lưới Công Trình Ergonomic #557,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-66739,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 59,Nguyễn Thị Hoa,ACTIVE,1874120,2026-01-26,Tài sản mẫu kiểm thử số 557
AST-00558,Màn Hình Dell UltraSharp 27 inch 4K #558,Thiết Bị IT,U2723QE,SN-2026-50747,DEPT-IT,Tầng 4 - Phòng IT - Ô 52,Trần Văn Nam,ACTIVE,12794110,2026-01-27,Tài sản mẫu kiểm thử số 558
AST-00559,Pallet Nhựa Đen 1200x1000mm #559,Pallet Nhựa,1200x1000x150mm,SN-2026-42183,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 67,Phạm Minh Đức,ACTIVE,495080,2026-01-28,Tài sản mẫu kiểm thử số 559
AST-00560,Bộ Máy Hàn TIG Điện Tử 250A #560,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-72898,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 43,Nguyễn Thị Hoa,REPAIR,12496320,2026-01-01,Tài sản mẫu kiểm thử số 560
AST-00561,Bộ Máy Hàn TIG Điện Tử 250A #561,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-16771,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 40,Hoàng Văn Thái,ACTIVE,12545640,2026-01-02,Tài sản mẫu kiểm thử số 561
AST-00562,Màn Hình Dell UltraSharp 27 inch 4K #562,Thiết Bị IT,U2723QE,SN-2026-51336,DEPT-IT,Tầng 4 - Phòng IT - Ô 14,Nguyễn Văn Hùng,ACTIVE,12791440,2026-01-03,Tài sản mẫu kiểm thử số 562
AST-00563,Pallet Nhựa Xanh Lót Sàn #563,Pallet Nhựa,1100x1100x120mm,SN-2026-41889,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 20,Nguyễn Thị Hoa,ACTIVE,422470,2026-01-04,Tài sản mẫu kiểm thử số 563
AST-00564,Máy In Tem Nhãn QR Code Thermal #564,Thiết Bị IT,Xprinter XP-420B,SN-2026-55193,DEPT-IT,Tầng 4 - Phòng IT - Ô 82,Phạm Minh Đức,ACTIVE,2791950,2026-01-05,Tài sản mẫu kiểm thử số 564
AST-00565,Pallet Nhựa Xanh Lót Sàn #565,Pallet Nhựa,1100x1100x120mm,SN-2026-84894,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 38,Trần Văn Nam,SPARE,370850,2026-01-06,Tài sản mẫu kiểm thử số 565
AST-00566,Pallet Nhựa Đen 1200x1000mm #566,Pallet Nhựa,1200x1000x150mm,SN-2026-61570,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 10,Phạm Thị Lan,REPAIR,459380,2026-01-07,Tài sản mẫu kiểm thử số 566
AST-00567,Máy In Tem Nhãn QR Code Thermal #567,Thiết Bị IT,Xprinter XP-420B,SN-2026-46339,DEPT-IT,Tầng 4 - Phòng IT - Ô 93,Lê Vũ Tường,LOANED,2808350,2026-01-08,Tài sản mẫu kiểm thử số 567
AST-00568,Máy Điều Hòa Âm Trần Daikin 36000BTU #568,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-34726,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 76,Phạm Thị Lan,ACTIVE,38015170,2026-01-09,Tài sản mẫu kiểm thử số 568
AST-00569,Ghế Xoay Lưới Công Trình Ergonomic #569,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-17567,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 56,Trần Văn Nam,ACTIVE,1833200,2026-01-10,Tài sản mẫu kiểm thử số 569
AST-00570,Màn Hình Dell UltraSharp 27 inch 4K #570,Thiết Bị IT,U2723QE,SN-2026-32430,DEPT-IT,Tầng 4 - Phòng IT - Ô 53,Trần Văn Nam,LOANED,12830040,2026-01-11,Tài sản mẫu kiểm thử số 570
AST-00571,Máy Nén Khí Piston 15HP #571,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-67383,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 3,Trần Văn Nam,REPAIR,34955280,2026-01-12,Tài sản mẫu kiểm thử số 571
AST-00572,Xe Nâng Điện Toyota 2.5 Tấn #572,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-52897,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 34,Phạm Minh Đức,ACTIVE,419965480,2026-01-13,Tài sản mẫu kiểm thử số 572
AST-00573,Máy Nén Khí Piston 15HP #573,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-70593,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 78,Lê Vũ Tường,REPAIR,34958500,2026-01-14,Tài sản mẫu kiểm thử số 573
AST-00574,Máy Điều Hòa Âm Trần Daikin 36000BTU #574,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-33081,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 63,Nguyễn Văn Hùng,ACTIVE,37960210,2026-01-15,Tài sản mẫu kiểm thử số 574
AST-00575,Laptop Dell Latitude 5440 i7 #575,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-61982,DEPT-IT,Tầng 4 - Phòng IT - Ô 83,Phạm Minh Đức,ACTIVE,22472410,2026-01-16,Tài sản mẫu kiểm thử số 575
AST-00576,Pallet Nhựa 2 Mặt Tải Trọng Nặng #576,Pallet Nhựa,1200x1200x160mm,SN-2026-87145,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 12,Nguyễn Văn Hùng,ACTIVE,586380,2026-01-17,Tài sản mẫu kiểm thử số 576
AST-00577,Pallet Nhựa Đen 1200x1000mm #577,Pallet Nhựa,1200x1000x150mm,SN-2026-36996,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 37,Nguyễn Thị Hoa,REPAIR,484290,2026-01-18,Tài sản mẫu kiểm thử số 577
AST-00578,Máy Nén Khí Piston 15HP #578,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-42090,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 36,Lê Vũ Tường,ACTIVE,35035720,2026-01-19,Tài sản mẫu kiểm thử số 578
AST-00579,Màn Hình Dell UltraSharp 27 inch 4K #579,Thiết Bị IT,U2723QE,SN-2026-78447,DEPT-IT,Tầng 4 - Phòng IT - Ô 10,Hoàng Văn Thái,ACTIVE,12815940,2026-01-20,Tài sản mẫu kiểm thử số 579
AST-00580,Máy Nén Khí Piston 15HP #580,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-57237,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 7,Hoàng Văn Thái,ACTIVE,35047210,2026-01-21,Tài sản mẫu kiểm thử số 580
AST-00581,Laptop Dell Latitude 5440 i7 #581,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-95535,DEPT-IT,Tầng 4 - Phòng IT - Ô 34,Phạm Thị Lan,SPARE,22465910,2026-01-22,Tài sản mẫu kiểm thử số 581
AST-00582,Xe Nâng Điện Toyota 2.5 Tấn #582,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-61638,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 97,Nguyễn Thị Hoa,LOANED,419960720,2026-01-23,Tài sản mẫu kiểm thử số 582
AST-00583,Pallet Nhựa Xanh Lót Sàn #583,Pallet Nhựa,1100x1100x120mm,SN-2026-39301,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 18,Lê Vũ Tường,LOANED,395720,2026-01-24,Tài sản mẫu kiểm thử số 583
AST-00584,Máy In Tem Nhãn QR Code Thermal #584,Thiết Bị IT,Xprinter XP-420B,SN-2026-46058,DEPT-IT,Tầng 4 - Phòng IT - Ô 69,Trần Văn Nam,ACTIVE,2774830,2026-01-25,Tài sản mẫu kiểm thử số 584
AST-00585,Bộ Máy Hàn TIG Điện Tử 250A #585,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-43439,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 69,Nguyễn Thị Hoa,ACTIVE,12494390,2026-01-26,Tài sản mẫu kiểm thử số 585
AST-00586,Máy Điều Hòa Âm Trần Daikin 36000BTU #586,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-61854,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 64,Lê Vũ Tường,ACTIVE,38043640,2026-01-27,Tài sản mẫu kiểm thử số 586
AST-00587,Máy In Tem Nhãn QR Code Thermal #587,Thiết Bị IT,Xprinter XP-420B,SN-2026-58126,DEPT-IT,Tầng 4 - Phòng IT - Ô 6,Phạm Thị Lan,ACTIVE,2814410,2026-01-28,Tài sản mẫu kiểm thử số 587
AST-00588,Máy Nén Khí Piston 15HP #588,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-64760,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 98,Nguyễn Văn Hùng,SPARE,34966390,2026-01-01,Tài sản mẫu kiểm thử số 588
AST-00589,Xe Nâng Điện Toyota 2.5 Tấn #589,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-26986,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 21,Nguyễn Thị Hoa,ACTIVE,419954550,2026-01-02,Tài sản mẫu kiểm thử số 589
AST-00590,Pallet Nhựa Đen 1200x1000mm #590,Pallet Nhựa,1200x1000x150mm,SN-2026-60941,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 22,Nguyễn Thị Hoa,REPAIR,499760,2026-01-03,Tài sản mẫu kiểm thử số 590
AST-00591,Xe Nâng Điện Toyota 2.5 Tấn #591,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-26009,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 85,Hoàng Văn Thái,REPAIR,419993660,2026-01-04,Tài sản mẫu kiểm thử số 591
AST-00592,Pallet Nhựa Đen 1200x1000mm #592,Pallet Nhựa,1200x1000x150mm,SN-2026-52587,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 6,Nguyễn Thị Hoa,SPARE,497100,2026-01-05,Tài sản mẫu kiểm thử số 592
AST-00593,Ghế Xoay Lưới Công Trình Ergonomic #593,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-83935,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 44,Phạm Minh Đức,REPAIR,1881260,2026-01-06,Tài sản mẫu kiểm thử số 593
AST-00594,Xe Nâng Điện Toyota 2.5 Tấn #594,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-43134,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 15,Phạm Thị Lan,ACTIVE,419965690,2026-01-07,Tài sản mẫu kiểm thử số 594
AST-00595,Pallet Nhựa Đen 1200x1000mm #595,Pallet Nhựa,1200x1000x150mm,SN-2026-11215,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 3,Lê Vũ Tường,ACTIVE,452800,2026-01-08,Tài sản mẫu kiểm thử số 595
AST-00596,Máy Điều Hòa Âm Trần Daikin 36000BTU #596,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-17359,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 99,Lê Vũ Tường,SPARE,38023200,2026-01-09,Tài sản mẫu kiểm thử số 596
AST-00597,Bộ Máy Hàn TIG Điện Tử 250A #597,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-66501,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 44,Phạm Thị Lan,SPARE,12484440,2026-01-10,Tài sản mẫu kiểm thử số 597
AST-00598,Bộ Máy Hàn TIG Điện Tử 250A #598,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-41830,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 32,Phạm Minh Đức,ACTIVE,12510340,2026-01-11,Tài sản mẫu kiểm thử số 598
AST-00599,Bộ Máy Hàn TIG Điện Tử 250A #599,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-34662,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 19,Lê Vũ Tường,ACTIVE,12535830,2026-01-12,Tài sản mẫu kiểm thử số 599
AST-00600,Pallet Nhựa 2 Mặt Tải Trọng Nặng #600,Pallet Nhựa,1200x1200x160mm,SN-2026-70288,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 42,Nguyễn Thị Hoa,ACTIVE,656460,2026-01-13,Tài sản mẫu kiểm thử số 600
AST-00601,Màn Hình Dell UltraSharp 27 inch 4K #601,Thiết Bị IT,U2723QE,SN-2026-98940,DEPT-IT,Tầng 4 - Phòng IT - Ô 29,Nguyễn Văn Hùng,REPAIR,12801820,2026-01-14,Tài sản mẫu kiểm thử số 601
AST-00602,Ghế Xoay Lưới Công Trình Ergonomic #602,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-88133,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 80,Lê Vũ Tường,ACTIVE,1811490,2026-01-15,Tài sản mẫu kiểm thử số 602
AST-00603,Pallet Nhựa Đen 1200x1000mm #603,Pallet Nhựa,1200x1000x150mm,SN-2026-81051,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 29,Nguyễn Văn Hùng,LOANED,440490,2026-01-16,Tài sản mẫu kiểm thử số 603
AST-00604,Ghế Xoay Lưới Công Trình Ergonomic #604,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-88296,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 93,Hoàng Văn Thái,ACTIVE,1851660,2026-01-17,Tài sản mẫu kiểm thử số 604
AST-00605,Xe Nâng Điện Toyota 2.5 Tấn #605,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-65081,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 62,Nguyễn Thị Hoa,REPAIR,419952530,2026-01-18,Tài sản mẫu kiểm thử số 605
AST-00606,Pallet Nhựa 2 Mặt Tải Trọng Nặng #606,Pallet Nhựa,1200x1200x160mm,SN-2026-32045,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 26,Phạm Thị Lan,ACTIVE,648440,2026-01-19,Tài sản mẫu kiểm thử số 606
AST-00607,Xe Nâng Điện Toyota 2.5 Tấn #607,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-57167,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 12,Phạm Minh Đức,ACTIVE,420005020,2026-01-20,Tài sản mẫu kiểm thử số 607
AST-00608,Pallet Nhựa 2 Mặt Tải Trọng Nặng #608,Pallet Nhựa,1200x1200x160mm,SN-2026-55127,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 16,Lê Vũ Tường,LOANED,640930,2026-01-21,Tài sản mẫu kiểm thử số 608
AST-00609,Ghế Xoay Lưới Công Trình Ergonomic #609,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-14200,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 5,Phạm Thị Lan,SPARE,1815650,2026-01-22,Tài sản mẫu kiểm thử số 609
AST-00610,Ghế Xoay Lưới Công Trình Ergonomic #610,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-48094,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 53,Hoàng Văn Thái,LOANED,1870210,2026-01-23,Tài sản mẫu kiểm thử số 610
AST-00611,Pallet Nhựa Đen 1200x1000mm #611,Pallet Nhựa,1200x1000x150mm,SN-2026-11370,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 3,Phạm Minh Đức,ACTIVE,417280,2026-01-24,Tài sản mẫu kiểm thử số 611
AST-00612,Pallet Nhựa 2 Mặt Tải Trọng Nặng #612,Pallet Nhựa,1200x1200x160mm,SN-2026-18721,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 40,Phạm Thị Lan,SPARE,589750,2026-01-25,Tài sản mẫu kiểm thử số 612
AST-00613,Màn Hình Dell UltraSharp 27 inch 4K #613,Thiết Bị IT,U2723QE,SN-2026-23215,DEPT-IT,Tầng 4 - Phòng IT - Ô 56,Lê Vũ Tường,ACTIVE,12819660,2026-01-26,Tài sản mẫu kiểm thử số 613
AST-00614,Máy Điều Hòa Âm Trần Daikin 36000BTU #614,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-81918,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 71,Trần Văn Nam,REPAIR,38000620,2026-01-27,Tài sản mẫu kiểm thử số 614
